Method,Path,Delegated Permissions,App Permissions,Owner,In v1.0,Has Granular Permissions,v1.0 + granular,Doc link
POST  ,/app/calls,Not supported,Calls.JoinGroupCalls.Chat  Calls.JoinGroupCallAsGuest.All  Calls.JoinGroupCall.All  Calls.Initiate.All  Calls.InitiateGroupCall.All,IC3,False,True,False,https://docs.microsoft.com/graph/api/application-post-calls?view=graph-rest-beta
GET   ,/app/calls/{callId}/operations/{id},Not supported,None,IC3,False,True,False,https://docs.microsoft.com/graph/api/addlargegalleryviewoperation-get?view=graph-rest-beta
GET   ,/app/calls/{id},Not Supported,Calls.Initiate.All  Calls.AccessMedia.All,IC3,False,True,False,https://docs.microsoft.com/graph/api/call-get?view=graph-rest-beta
DELETE,/app/calls/{id},Not Supported,Calls.Initiate.All  Calls.AccessMedia.All,IC3,False,True,False,https://docs.microsoft.com/graph/api/call-delete?view=graph-rest-beta
POST  ,/app/calls/{id}/addLargeGalleryView,Not supported,Calls.JoinGroupCallAsGuest.All  Calls.JoinGroupCall.All  Calls.InitiateGroupCall.All,IC3,False,True,False,https://docs.microsoft.com/graph/api/call-addlargegalleryview?view=graph-rest-beta
POST  ,/app/calls/{id}/answer,Not supported,Calls.JoinGroupCall.All  Calls.JoinGroupCallAsGuest.All,IC3,False,True,False,https://docs.microsoft.com/graph/api/call-answer?view=graph-rest-beta
GET   ,/app/calls/{id}/audioRoutingGroups,Not supported,Calls.JoinGroupCall.All  Calls.InitiateGroupCall.All,IC3,False,True,False,https://docs.microsoft.com/graph/api/call-list-audioroutinggroups?view=graph-rest-beta
POST  ,/app/calls/{id}/audioRoutingGroups,Not supported,Calls.JoinGroupCalls.All  Calls.InitiateGroupCalls.All,IC3,False,True,False,https://docs.microsoft.com/graph/api/call-post-audioroutinggroups?view=graph-rest-beta
GET   ,/app/calls/{id}/audioRoutingGroups/{id},Not Supported,Calls.JoinGroupCalls.All  Calls.InitiateGroupCalls.All,IC3,False,True,False,https://docs.microsoft.com/graph/api/audioroutinggroup-get?view=graph-rest-beta
PATCH ,/app/calls/{id}/audioRoutingGroups/{id},Not Supported,Calls.JoinGroupCalls.All  Calls.InitiateGroupCalls.All,IC3,False,True,False,https://docs.microsoft.com/graph/api/audioroutinggroup-update?view=graph-rest-beta
DELETE,/app/calls/{id}/audioRoutingGroups/{id},Not Supported,Calls.JoinGroupCalls.All  Calls.InitiateGroupCalls.All,IC3,False,True,False,https://docs.microsoft.com/graph/api/audioroutinggroup-delete?view=graph-rest-beta
